104.27.117.160:8443#香港优选IP 1  ↓ 100.84MB/s
172.66.171.77:8443#香港优选IP 2  ↓ 100.74MB/s
104.18.189.56:8443#香港优选IP 3  ↓ 94.89MB/s
172.67.93.57:8443#香港优选IP 4  ↓ 92.22MB/s
104.21.13.185:8443#香港优选IP 5  ↓ 84.25MB/s
104.20.80.64:8443#香港优选IP 6  ↓ 82.42MB/s
104.24.241.46:8443#香港优选IP 7  ↓ 82.21MB/s
104.22.6.250:8443#香港优选IP 8  ↓ 75.66MB/s
162.159.14.104:8443#香港优选IP 9  ↓ 74.63MB/s
104.21.14.207:8443#香港优选IP 10  ↓ 70.54MB/s
172.66.148.117:8443#香港优选IP 11  ↓ 70.16MB/s
172.66.155.120:8443#香港优选IP 12  ↓ 69.96MB/s
104.19.220.177:8443#香港优选IP 13  ↓ 64.9MB/s
104.27.87.2:8443#香港优选IP 14  ↓ 60.92MB/s
104.18.91.200:8443#香港优选IP 15  ↓ 54.42MB/s
